0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
50.87,48.19,44.68,42.92,40.39,40.2,39.63,40.09,41.27,44.88,45.0,47.2,50.78,45.49,44.73,46.59,52.99,60.26,60.61,60.36,57.4,53.86,53.45,49.72,46.69,42.43,41.09,40.0,37.55,39.0,42.09,44.96,48.45,52.0,52.0,52.15,55.95,52.0,50.69,53.45,59.99,62.0,63.08,62.17,60.03,55.03,52.25,48.45,46.11,41.59,37.21,35.18,24.65,23.85,24.05,24.8,24.97,25.65,26.0,26.89,25.87,25.83,26.02,26.5,33.27,43.96,43.35,27.92,27.56,27.04,26.18,24.92,24.66,24.05,23.88,24.03,24.58,25.84,28.21,49.76,54.42,55.69,55.8,58.27,57.52,56.53,57.99,58.03,60.5,65.22,60.05,53.73,37.68,38.49,30.95,27.35
46.69,42.43,41.09,40.0,37.55,39.0,42.09,44.96,48.45,52.0,52.0,52.15,55.95,52.0,50.69,53.45,59.99,62.0,63.08,62.17,60.03,55.03,52.25,48.45,46.11,41.59,37.21,35.18,24.65,23.85,24.05,24.8,24.97,25.65,26.0,26.89,25.87,25.83,26.02,26.5,33.27,43.96,43.35,27.92,27.56,27.04,26.18,24.92,24.66,24.05,23.88,24.03,24.58,25.84,28.21,49.76,54.42,55.69,55.8,58.27,57.52,56.53,57.99,58.03,60.5,65.22,60.05,53.73,37.68,38.49,30.95,27.35,27.81,27.45,27.08,27.14,27.79,29.81,35.78,53.64,60.0,60.12,61.18,62.46,61.48,62.29,62.04,62.51,64.26,65.6,60.13,54.66,40.78,39.6,32.06,29.21
46.11,41.59,37.21,35.18,24.65,23.85,24.05,24.8,24.97,25.65,26.0,26.89,25.87,25.83,26.02,26.5,33.27,43.96,43.35,27.92,27.56,27.04,26.18,24.92,24.66,24.05,23.88,24.03,24.58,25.84,28.21,49.76,54.42,55.69,55.8,58.27,57.52,56.53,57.99,58.03,60.5,65.22,60.05,53.73,37.68,38.49,30.95,27.35,27.81,27.45,27.08,27.14,27.79,29.81,35.78,53.64,60.0,60.12,61.18,62.46,61.48,62.29,62.04,62.51,64.26,65.6,60.13,54.66,40.78,39.6,32.06,29.21,29.83,28.72,28.11,27.98,28.16,29.0,30.72,35.54,39.18,41.88,46.07,45.27,46.21,47.35,51.31,54.9,58.4,59.93,55.67,50.25,39.84,39.93,38.7,32.5
24.66,24.05,23.88,24.03,24.58,25.84,28.21,49.76,54.42,55.69,55.8,58.27,57.52,56.53,57.99,58.03,60.5,65.22,60.05,53.73,37.68,38.49,30.95,27.35,27.81,27.45,27.08,27.14,27.79,29.81,35.78,53.64,60.0,60.12,61.18,62.46,61.48,62.29,62.04,62.51,64.26,65.6,60.13,54.66,40.78,39.6,32.06,29.21,29.83,28.72,28.11,27.98,28.16,29.0,30.72,35.54,39.18,41.88,46.07,45.27,46.21,47.35,51.31,54.9,58.4,59.93,55.67,50.25,39.84,39.93,38.7,32.5,43.08,40.9,39.19,39.78,41.28,45.54,55.97,67.8,86.51,83.86,82.44,85.99,84.71,82.29,78.62,81.57,89.68,100.0,90.43,80.28,66.8,59.33,58.26,52.25
27.81,27.45,27.08,27.14,27.79,29.81,35.78,53.64,60.0,60.12,61.18,62.46,61.48,62.29,62.04,62.51,64.26,65.6,60.13,54.66,40.78,39.6,32.06,29.21,29.83,28.72,28.11,27.98,28.16,29.0,30.72,35.54,39.18,41.88,46.07,45.27,46.21,47.35,51.31,54.9,58.4,59.93,55.67,50.25,39.84,39.93,38.7,32.5,43.08,40.9,39.19,39.78,41.28,45.54,55.97,67.8,86.51,83.86,82.44,85.99,84.71,82.29,78.62,81.57,89.68,100.0,90.43,80.28,66.8,59.33,58.26,52.25,49.31,47.38,45.78,44.51,45.69,50.33,59.71,79.56,103.54,107.8,107.32,104.26,99.91,95.27,92.72,95.42,95.0,110.0,99.95,80.12,64.24,59.43,56.22,51.75
29.83,28.72,28.11,27.98,28.16,29.0,30.72,35.54,39.18,41.88,46.07,45.27,46.21,47.35,51.31,54.9,58.4,59.93,55.67,50.25,39.84,39.93,38.7,32.5,43.08,40.9,39.19,39.78,41.28,45.54,55.97,67.8,86.51,83.86,82.44,85.99,84.71,82.29,78.62,81.57,89.68,100.0,90.43,80.28,66.8,59.33,58.26,52.25,49.31,47.38,45.78,44.51,45.69,50.33,59.71,79.56,103.54,107.8,107.32,104.26,99.91,95.27,92.72,95.42,95.0,110.0,99.95,80.12,64.24,59.43,56.22,51.75,50.67,48.6,48.02,49.25,49.63,47.77,49.57,53.82,59.8,66.92,67.71,68.0,67.01,62.53,60.0,60.0,62.78,69.92,71.99,68.95,62.66,55.19,54.13,44.93
43.08,40.9,39.19,39.78,41.28,45.54,55.97,67.8,86.51,83.86,82.44,85.99,84.71,82.29,78.62,81.57,89.68,100.0,90.43,80.28,66.8,59.33,58.26,52.25,49.31,47.38,45.78,44.51,45.69,50.33,59.71,79.56,103.54,107.8,107.32,104.26,99.91,95.27,92.72,95.42,95.0,110.0,99.95,80.12,64.24,59.43,56.22,51.75,50.67,48.6,48.02,49.25,49.63,47.77,49.57,53.82,59.8,66.92,67.71,68.0,67.01,62.53,60.0,60.0,62.78,69.92,71.99,68.95,62.66,55.19,54.13,44.93,38.84,35.97,34.35,33.87,33.84,34.21,34.03,37.61,39.09,40.76,44.16,46.24,44.76,44.34,45.45,48.03,55.87,62.09,63.41,55.24,48.05,44.49,40.07,35.88
49.31,47.38,45.78,44.51,45.69,50.33,59.71,79.56,103.54,107.8,107.32,104.26,99.91,95.27,92.72,95.42,95.0,110.0,99.95,80.12,64.24,59.43,56.22,51.75,50.67,48.6,48.02,49.25,49.63,47.77,49.57,53.82,59.8,66.92,67.71,68.0,67.01,62.53,60.0,60.0,62.78,69.92,71.99,68.95,62.66,55.19,54.13,44.93,38.84,35.97,34.35,33.87,33.84,34.21,34.03,37.61,39.09,40.76,44.16,46.24,44.76,44.34,45.45,48.03,55.87,62.09,63.41,55.24,48.05,44.49,40.07,35.88,44.9,39.59,37.78,35.43,37.29,41.41,42.78,60.24,60.42,49.62,47.57,44.64,43.33,42.61,42.05,42.31,43.28,44.98,42.93,39.71,37.11,34.24,33.21,27.39
50.67,48.6,48.02,49.25,49.63,47.77,49.57,53.82,59.8,66.92,67.71,68.0,67.01,62.53,60.0,60.0,62.78,69.92,71.99,68.95,62.66,55.19,54.13,44.93,38.84,35.97,34.35,33.87,33.84,34.21,34.03,37.61,39.09,40.76,44.16,46.24,44.76,44.34,45.45,48.03,55.87,62.09,63.41,55.24,48.05,44.49,40.07,35.88,44.9,39.59,37.78,35.43,37.29,41.41,42.78,60.24,60.42,49.62,47.57,44.64,43.33,42.61,42.05,42.31,43.28,44.98,42.93,39.71,37.11,34.24,33.21,27.39,19.43,15.82,19.0,24.14,27.0,35.94,40.96,54.51,60.64,54.96,56.5,57.88,59.64,54.94,50.31,54.23,61.5,64.12,60.4,53.58,50.3,40.71,37.75,34.62
38.84,35.97,34.35,33.87,33.84,34.21,34.03,37.61,39.09,40.76,44.16,46.24,44.76,44.34,45.45,48.03,55.87,62.09,63.41,55.24,48.05,44.49,40.07,35.88,44.9,39.59,37.78,35.43,37.29,41.41,42.78,60.24,60.42,49.62,47.57,44.64,43.33,42.61,42.05,42.31,43.28,44.98,42.93,39.71,37.11,34.24,33.21,27.39,19.43,15.82,19.0,24.14,27.0,35.94,40.96,54.51,60.64,54.96,56.5,57.88,59.64,54.94,50.31,54.23,61.5,64.12,60.4,53.58,50.3,40.71,37.75,34.62,33.03,32.43,31.58,30.84,31.68,36.81,41.87,46.21,56.14,47.71,46.23,43.82,41.22,40.04,39.47,41.17,45.91,55.49,54.51,48.1,47.14,40.88,40.02,38.03
