,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2020-12-31 12:00:00+01:00,50.52,5.1936255,8.783875,4.423066,7.6738405,0.970322,239.40552,10.204421,6.41495672324201
2020-12-31 13:00:00+01:00,52.36,5.0385437,8.022184,4.324992,7.0692644,0.9201908,237.86804,9.473245,5.132451852726011
2020-12-31 14:00:00+01:00,53.08,4.4881516,7.355898,3.9318314,6.5762844,0.8678351,238.61082,8.6170025,3.862756008372149
2020-12-31 15:00:00+01:00,56.54,3.8598022,7.586918,3.4421158,6.8274813,0.80643046,243.03554,8.512308,3.7236652178710554
2020-12-31 16:00:00+01:00,59.2,2.9666376,7.959463,2.6272097,7.156698,0.75586855,249.55865,8.49435,3.700148406367611
2020-12-31 17:00:00+01:00,61.34,2.4738998,8.477502,2.1524124,7.5870523,0.7265574,253.73172,8.831094,4.157881551404356
2020-12-31 18:00:00+01:00,61.08,2.10604,9.060862,1.8083858,8.09867,0.72717404,256.91492,9.302399,4.859744841615415
2020-12-31 19:00:00+01:00,59.47,1.6932278,9.342622,1.4415741,8.355218,0.74719626,259.7274,9.49482,5.167598700588794
2020-12-31 20:00:00+01:00,56.7,1.6525621,9.094204,1.378953,8.108201,0.77158433,259.7008,9.243133,4.767450260979185
2020-12-31 21:00:00+01:00,52.44,1.8995085,8.681878,1.5995235,7.7665377,0.77940464,257.65872,8.887246,4.237700368196728
2020-12-31 22:00:00+01:00,51.86,2.062787,8.555559,1.7607441,7.6906805,0.75924784,256.44443,8.80072,4.115127212638091
2020-12-31 23:00:00+01:00,52.26,2.2359686,8.731062,1.8365555,7.661605,0.777152,255.63564,9.012824,4.419888375747803
2021-01-01 00:00:00+01:00,50.87,1.8307104,8.440813,1.4766312,7.4761124,0.7682664,257.76276,8.637061,3.889793984411676
2021-01-01 01:00:00+01:00,48.19,1.1250448,7.901574,0.90422034,7.0987864,0.74037963,261.89655,7.9812655,3.0693322544536996
2021-01-01 02:00:00+01:00,44.68,0.6276644,7.850998,0.47849476,7.0919704,0.7006595,265.42908,7.876048,2.9495359858394723
2021-01-01 03:00:00+01:00,42.92,0.2889619,7.6404896,0.18150836,6.9630814,0.66265094,267.8341,7.645952,2.6985058377142077
2021-01-01 04:00:00+01:00,40.39,0.11542499,7.39972,0.029561352,6.7857227,0.62708986,269.10632,7.4006205,2.4469946398501117
2021-01-01 05:00:00+01:00,40.2,-0.14771366,7.439906,-0.21989208,6.8030643,0.6070062,271.1374,7.4413724,2.4876411850158315
2021-01-01 06:00:00+01:00,39.63,-0.4057337,7.523546,-0.49424267,6.8018274,0.6045342,273.08688,7.5344787,2.582190292299108
2021-01-01 07:00:00+01:00,40.09,-0.25268686,7.484232,-0.39614516,6.791728,0.60717374,271.93372,7.4884963,2.535201488005378
2021-01-01 08:00:00+01:00,41.27,0.28271264,7.3577747,0.090213776,6.7053223,0.60569865,267.79956,7.363204,2.410067026885528
2021-01-01 09:00:00+01:00,44.88,0.99270076,7.1273155,0.83493185,6.577359,0.5976908,262.0708,7.1961155,2.249691651086056
2021-01-01 10:00:00+01:00,45.0,1.7968369,6.868284,1.6313381,6.4061337,0.5825514,255.33922,7.099433,2.160228078034788
2021-01-01 11:00:00+01:00,47.2,0.8317659,7.3671427,0.6501975,6.647786,0.5755508,263.55847,7.413948,2.4602386626477113
2021-01-01 12:00:00+01:00,50.78,2.0337734,6.638976,1.8503599,6.1564865,0.5689002,252.96815,6.9435034,2.020991912299249
2021-01-01 13:00:00+01:00,45.49,3.368082,5.2940903,3.0678444,4.9188433,0.5438365,237.53561,6.2746606,1.4914178541808103
2021-01-01 14:00:00+01:00,44.73,3.5496616,4.3056145,3.276846,3.998105,0.50767744,230.49693,5.5801806,1.0489949490608703
2021-01-01 15:00:00+01:00,46.59,3.851304,3.9235487,3.5892735,3.6384974,0.46867472,225.53238,5.4978886,1.003266753886937
2021-01-01 16:00:00+01:00,52.99,4.6150723,3.638567,4.313175,3.4006624,0.4400007,218.25258,5.8769093,1.2253935120775254
2021-01-01 17:00:00+01:00,60.26,4.9524517,3.034586,4.629426,2.836276,0.42693025,211.49763,5.808226,1.1829303265861673
2021-01-01 18:00:00+01:00,60.61,4.9530163,2.5357876,4.639888,2.349924,0.41588444,207.11101,5.5644035,1.0401224615696385
2021-01-01 19:00:00+01:00,60.36,4.7679834,2.0685415,4.441947,1.9139891,0.40065485,203.45312,5.197358,0.8475719049979915
2021-01-01 20:00:00+01:00,57.4,4.4668036,1.740901,4.172414,1.6047134,0.37746578,201.29295,4.794066,0.6651822241132784
2021-01-01 21:00:00+01:00,53.86,4.146693,1.2930746,3.8921366,1.1843309,0.35085964,197.31918,4.3436284,0.4947509261325716
2021-01-01 22:00:00+01:00,53.45,3.85248,0.96124834,3.6142454,0.8587697,0.32633704,194.01004,3.970592,0.377915251196982
2021-01-01 23:00:00+01:00,49.72,3.5048733,1.3464365,3.2887964,1.2587624,0.294546,201.01483,3.7546008,0.3195360881656692
2021-01-02 00:00:00+01:00,46.69,3.4540625,1.4739532,3.2609606,1.3308163,0.27410048,203.1094,3.7554076,0.3197421232475916
2021-01-02 01:00:00+01:00,42.43,3.7338848,1.0752392,3.478118,0.91212827,0.26306152,196.0647,3.885619,0.3541679347660517
2021-01-02 02:00:00+01:00,41.09,3.6765995,0.4210078,3.4171534,0.34794855,0.25661248,186.53249,3.700626,0.3059526172745783
2021-01-02 03:00:00+01:00,40.0,3.5279875,-0.394193,3.301383,-0.37741047,0.24813038,173.6246,3.5499413,0.2700798214661356
2021-01-02 04:00:00+01:00,37.55,3.2534618,-1.0202742,3.0215635,-0.9747757,0.23768324,162.58876,3.4096882,0.2393164956600043
2021-01-02 05:00:00+01:00,39.0,2.4907951,-1.6114779,2.339548,-1.523323,0.22898084,147.09822,2.9666348,0.0
2021-01-02 06:00:00+01:00,42.09,1.775445,-1.9177332,1.6823626,-1.7879925,0.21991354,132.79364,2.6134088,0.0
